,Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap
0,WVFC,WVS FINCL CORP,OTCQX U.S. Premier,14.11,-0.6338,14380,Common Stock,USA,Pennsylvania,"26,729,346"
1,MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,20.5,,0,Common Stock,USA,Michigan,"135,242,457"
2,MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX U.S. Premier,39.0,,0,Preferred Stock,USA,Michigan,"31,430,100"
3,TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX U.S. Premier,38.3,-1.1613,100,Common Stock,USA,Maryland,"105,683,488"
4,STBI,STURGIS BANCORP INC,OTCQX U.S. Premier,20.6,,0,Common Stock,USA,Michigan,"44,015,835"
5,PSBP,PSB HOLDING CORP,OTCQX U.S. Premier,26.0,0.0,8300,Common Stock,USA,Maryland,
6,MNBP,MARS BANCORP INC,OTCQX U.S. Premier,16.79,0.0,117,Common Stock,USA,Pennsylvania,
7,MNAT,MARQUETTE NATL CORP,OTCQX U.S. Premier,27.72,,0,Common Stock,USA,Illinois,
8,KISB,KISH BANCORP INC,OTCQX U.S. Premier,29.5101,-4.8061,1300,Common Stock,USA,Pennsylvania,
9,KCLI,KANSAS CITY LIFE INS NEW,OTCQX U.S. Premier,31.0,6.8597,1580,Common Stock,USA,Missouri,
10,JUVF,JUNIATA VLY FINCL CORP PA,OTCQX U.S. Premier,15.0,,0,Common Stock,USA,Pennsylvania,
11,FBAK,FIRST NB ALASKA,OTCQX U.S. Premier,245.95,-0.0163,200,Common Stock,USA,Alaska,
12,FBSI,FIRST BANCSHS INC MO,OTCQX U.S. Premier,18.25,,0,Common Stock,USA,Missouri,
13,FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,23.3,-1.2712,815,Common Stock,USA,Michigan,
14,ENBP,ENB FINANCIAL CORP PA,OTCQX U.S. Premier,18.15,-0.8197,246,Common Stock,USA,Pennsylvania,
15,DIMC,DIMECO INC,OTCQX U.S. Premier,45.25,-0.0002,567,Common Stock,USA,Pennsylvania,
16,CBAF,CITBA FINANCIAL CORP,OTCQX U.S. Premier,26.1,,0,Common Stock,USA,Indiana,
17,CPTP,CAPITAL PROPERTIES INC A,OTCQX U.S. Premier,11.3,,0,Common Stock,USA,Rhode Island,
18,BHWB,BLACKHAWK BANCORP INC,OTCQX U.S. Premier,32.7,,0,Common Stock,USA,Wisconsin,
19,CFNB,CALIFORNIA FIRST LEASING,OTCQX U.S. Premier,16.05,,0,Common Stock,USA,California,
20,BNCC,BNCCORP INC,OTCQX U.S. Premier,25.7,1.1413,4560,Common Stock,USA,North Dakota,
21,CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,14.93,1.2203,300,Common Stock,USA,Pennsylvania,
22,DBIN,DACOTAH BANKS INC,OTCQX U.S. Premier,34.8,,0,Common Stock,USA,South Dakota,
23,HLAN,HEARTLAND BANC CORP,OTCQX U.S. Premier,89.1,,1,Common Stock,USA,Ohio,
24,UBOH,UNITED BNCSHS CLMBUS GRVE,OTCQX U.S. Premier,20.1,-3.1325,493,Common Stock,USA,Ohio,
25,CMTV,COMMUTY BANCORP VT,OTCQX U.S. Premier,18.25,-2.4064,659,Common Stock,USA,Vermont,
26,FMBM,F & M BANK CORP,OTCQX U.S. Premier,23.99,0.0,150,Common Stock,USA,Virginia,
27,PPBN,PINNACLE BANKSHARES CORP,OTCQX U.S. Premier,20.0,,0,Common Stock,USA,Virginia,
28,WAYN,WAYNE SAVINGS BNCSHS INC,OTCQX U.S. Premier,24.51,,0,Common Stock,USA,Ohio,
29,NASB,NASB FINCL INC,OTCQX U.S. Premier,53.1,-0.3752,200,Common Stock,USA,Missouri,
30,UBNC,UB BANCORP,OTCQX U.S. Premier,19.02,-2.3614,230,Common Stock,USA,North Carolina,
31,AMBZ,AMER BUSINESS BK CA,OTCQX U.S. Premier,39.24,-0.6582,3340,Common Stock,USA,California,
32,FMCB,FRMRS&MER BNCORP LODI CA,OTCQX U.S. Premier,955.4,-0.1046,177,Common Stock,USA,California,
33,FGFH,FORESIGHT FINCL GRP INC,OTCQX U.S. Premier,31.25,,0,Common Stock,USA,Illinois,
