Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code
ADMT,ADM TRONICS UNLTD INC,OTCQB,0.071,2.8986,16000,Common Stock,USA,New Jersey,"4,798,784",3845 - Electromedical equipment
ACMT,ACMAT CORP,Pink Current,88.0,,0,Common Stock,USA,Connecticut,"29,574,688",6351 - Surety insurance
ACMTA,ACMAT CORP A,Pink Current,35.0,,0,Common Stock,USA,Connecticut,"15,239,735",6351 - Surety insurance
WHEN,WORLD HEALTH ENERGY HLDGS,Pink Current,0.0003,-25.0,2145000,Common Stock,USA,Florida,"150,900,822",7372 - Prepackaged software
AGDY,AGRI-DYNAMICS INC,Pink Current,0.0099,,0,Common Stock,USA,New York,"19,606,014",1382 - Oil and gas exploration services
SPQS,SPORTSQUEST INC,Pink Current,0.0017,-10.5263,2962300,Common Stock,USA,Florida,"7,103,897","6719 - Holding companies, misc"
RGRX,REGENERX BIOPHARMS INC,OTCQB,0.16,6.6667,10000,Common Stock,USA,Maryland,"22,967,958",2834 - Pharmaceutical preparations
ALTX,ALTEX INDUS INC,Pink Current,0.0909,,0,Common Stock,USA,Colorado,"1,091,836",1311 - Crude petroleum and natural gas
ABCP,AMBASE CORP,Pink Current,0.10605,-12.6082,1861,Common Stock,USA,Florida,"4,320,238",6512 - Nonresidential building operators
ABMC,AMER BIO MEDICA CORP,Pink Current,0.019,-1.5544,20122,Common Stock,USA,New York,"913,871",2834 - Pharmaceutical preparations
ARTM,AMER NORTEL COMMUN INC,Pink Current,0.022,,0,Common Stock,USA,Arizona,"974,712",3661 - Telephone and telegraph apparatus
AVOT,AMER VIDEO TELECONFRENCNG,Pink Current,0.025,,0,Common Stock,USA,Nevada,"1,295,818",Not Available
CFNB,CALIFORNIA FIRST LEASING,OTCQX U.S. Premier,16.05,,0,Common Stock,USA,California,"165,060,431","7359 - Equipment rental and leasing, misc"
ANDR,ANDREA ELECTRONICS CORP,OTCQB,0.0291,-11.6844,10500,Common Stock,USA,New York,"1,981,854",3663 - Radio and TV communications equipment
SYQH,LIAONING SHUIYUN QINGHE,Pink Current,1.0,,25,Common Stock,China,,"7,350,540",6770 - Blank Checks
MICR,MICRON SOLUTIONS INC,OTCQB,2.38,,0,Common Stock,USA,Massachusetts,"8,185,929",3845 - Electromedical equipment
ARTNB,ARTESIAN RES CORP B,OTCQB,50.01,,0,Common Stock,USA,Delaware,"44,081,415",4941 - Water supply
ATROB,ASTRONICS CORP B,Pink Current,8.335,,1,Common Stock,USA,New York,"54,659,855","3728 - Aircraft parts and equipment, misc"
AMNL,APPLIED MINERALS INC,Pink Current,0.0046,24.3243,4882840,Common Stock,USA,Utah,"1,688,051",1400 - Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AIFS,AGENT INFORMATION SFTWRE,Pink Current,1.5,,0,Common Stock,USA,California,"7,024,365",.
BBBK,BAKER BOYER BANCORP WALLA,Pink Current,70.8,,0,Common Stock,USA,Washington,"92,236,612",.
BISA,BALTIC INTL USA INC,Pink Current,0.06,,0,Common Stock,USA,Texas,"658,546",.
BKUT,BANK OF UTICA NY,Pink Current,540.0,,0,Common Stock,USA,New York,"27,000,000",.
BRBW,BRUNSWICK BANCORP,Pink Current,15.7,-0.9464,200,Common Stock,USA,New Jersey,"44,603,292",.
BHRB,BURKE & HERBERT BK & TR,Pink Current,2348.0,-0.0851,22,Common Stock,USA,Virginia,"435,807,584",.
BURCA,BURNHAM HLDGS INC A,Pink Current,12.76,-1.8462,350,Common Stock,USA,Pennsylvania,"41,916,307",.
BZYR,BURZYNSKI RESH INSTITUTE,Pink Current,0.03125,,0,Common Stock,USA,Texas,"4,107,764",.
BUKS,BUTLER NATL CORP,OTCQB,0.65,1.5466,6705,Common Stock,USA,Kansas,"49,907,980",7990 - Services-Miscellaneous Amusement & Recreation
CAWW,CCA INDUS INC,Pink Current,1.2,,0,Common Stock,USA,New Jersey,"7,912,778",2844 - Toilet preparations
CCFN,CCFNB BANCORP INC,Pink Current,48.99,,0,Common Stock,USA,Pennsylvania,"101,811,214",6022 - State commercial banks
