Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code,Description
ADMT,ADM TRONICS UNLTD INC,OTCQB,0.071,2.8986,16000,Common Stock,USA,New Jersey,"4,798,784",3845 - Electromedical equipment,"ADMT is a diversified, technology-based developer and manufacturer of innovative technologies and products. Its core competency is its ability to conceptualize a technology, bring it through development, into manufacturing and commercialization, all in-house. ADMT has three areas of activity: Proprietary Medical Devices; Medical Device Design, Engineering, Regulatory and Manufacturing Services; and, Eco-Friendly, Water-Based Formulations. ADMT has a multi-disciplinary team of engineers, researchers and technologists utilizing advanced technology infrastructure, such as 3-D prototyping, precision instrumentation and specialized software and peripherals, for the research, development and commercialization of diversified technologies. Additional information is available at the Company website - admtronics.com"
ACMT,ACMAT CORP,Pink Current,88.0,,0,Common Stock,USA,Connecticut,"29,574,688",6351 - Surety insurance,"ACMAT Corporation, through its wholly-owned subsidiary, ACSTAR Insurance Company, offers surety products for prime, sub-prime, specialty trade, environmental, asbestos and lead abatement contractors and miscellaneous obligations nationwide. ACSTAR also provides other miscellaneous surety such as workers compensation bonds, supply bonds, subdivision bonds, and license and permit bonds. Prior to 2010, ACMAT provided construction contracting services to commercial and governmental customers."
ACMTA,ACMAT CORP A,Pink Current,35.0,,0,Common Stock,USA,Connecticut,"14,364,539",6351 - Surety insurance,"ACMAT Corporation, through its wholly-owned subsidiary, ACSTAR Insurance Company, offers surety products for prime, sub-prime, specialty trade, environmental, asbestos and lead abatement contractors and miscellaneous obligations nationwide. ACSTAR also provides other miscellaneous surety such as workers compensation bonds, supply bonds, subdivision bonds, and license and permit bonds. Prior to 2010, ACMAT provided construction contracting services to commercial and governmental customers."
WHEN,WORLD HEALTH ENERGY HLDGS,Pink Current,0.0003,-25.0,2145000,Common Stock,USA,Florida,"176,050,959",7372 - Prepackaged software,"World Health Energy Holdings (d/b/a WHEN Group) is a cybersecurity company is comprised of SG77 and RNA Ltd, which develops and improves cyber security and cyber monitoring solutions in the B2C and B2B marketplace. WHEN develops new applications by applying proprietary pattern recognition technology based on phone and computer activity, analyzing human behavior, keywords and message history to automatically identify and prevent potential danger to individuals and companies. The B2C Cyber Security division targets families concerned with external cyber threats and exposures, in addition to monitoring a child's behavioral patterns that may alert parents to potential tragedies caused by cyber bullying and clinical depression. The B2B cybersecurity system software development and implementation company is focused on innovative solutions for the constantly evolving cyber challenges of businesses, non-governmental organizations (NGO's) and governmental entities. WHEN's cyber security solutions offers proprietary ""Point to Point"" security which is a significant improvement over standard cybersecurity offerings."
AGDY,AGRI-DYNAMICS INC,Pink Current,0.0099,,0,Common Stock,USA,New York,"19,804,055",1382 - Oil and gas exploration services,"AGRI-DYNAMICS, INC., (OTC MARKETS: AGDY) has been reinvented as a holding company that intends to acquire and joint venture with corporations that will help us increase revenue and generate valuable assets in various sectors. We specialize in the acquisition, investment and development of small or large businesses. The company's current research is in the mineral, commodity, agricultural, technology and energy sectors. We feel that today's market maintains a truly unprecedented opportunity for the acquisition in proven mining claims, high technology as well as valuable intellectual properties. Our aim is to grow our revenue, in part by assisting our subsidiaries to attain their revenue forecasts by making available additional financing, experienced personnel, distribution, marketing, and other services. AGRI-DYNAMICS, INC., is currently in search of valuable gold, silver and EV Battery mineral mines that are close to production or will be in a reasonable amount of time. These assets can add immense value to the company and our shareholders quickly. AGRI-DYNAMICS, INC., (OTC Markets: AGDY) originally an agricultural and machine equipment Company, was founded in Iowa on December 8, 1961. For more information see the companies financial statements and related filings on OTCMarkets.com"
SPQS,SPORTSQUEST INC,Pink Current,0.0017,-10.5263,2962300,Common Stock,USA,Florida,"6,268,145","6719 - Holding companies, misc","The company is in the process of a name change and symbol change having just liquidated its beverage operations and equipment. Flush with cash we are looking into several up and coming industry spaces. We are also engaged in R&D and experimental type energy product lines. The company is developing certain ""unicorn"" types of products and in non-aligned industry spaces encompassing new or emerging technologies with hyper-growth type opportunities."
RGRX,REGENERX BIOPHARMS INC,OTCQB,0.16,6.6667,10000,Common Stock,USA,Maryland,"25,523,143",2834 - Pharmaceutical preparations,"RegeneRx is a publicly traded, clinical-stage, biopharmaceutical company engaged in the design, research and development of novel peptides targeted at diseases with unmet medical needs. RegeneRx's mission is to research and develop novel pharmaceuticals that protect and repair tissue and organ damage caused by disease, trauma or other pathology."
ALTX,ALTEX INDUS INC,Pink Current,0.0909,,0,Common Stock,USA,Colorado,"1,008,958",1311 - Crude petroleum and natural gas,Not available
ABCP,AMBASE CORP,Pink Current,0.10605,-12.6082,1861,Common Stock,USA,Florida,"4,888,530",6512 - Nonresidential building operators,Not available
ABMC,AMER BIO MEDICA CORP,Pink Current,0.019,-1.5544,20122,Common Stock,USA,New York,.,2834 - Pharmaceutical preparations,"American Bio Medica Corporation is a biotechnology company that develops, manufactures and markets accurate, cost-effective immunoassay test kits, including some of the world's most effective point-of-collection tests for drugs of abuse."
